AHTI	178.046002897	-38.411447554
ANAU	178.291223348	-38.268212852
BHST	176.063174364	-39.489184001
CKID	177.07635309	-39.65787439
CNST	178.211143529	-38.48796629
DNVK	176.16665827913	-40.29885765846
FRTN	177.409873784	-38.939296943
GISB	177.88603492341	-38.63533692384
HANA	177.569366285	-38.686822718
HAST	176.72656394564	-39.61703293042
HIKB	178.30335250666	-37.56104136669
KAHU	176.87627798	-39.79375204
KAWK	176.42277	-39.42404
KERE	176.37013505	-39.64315592
KOKO	177.667786	-39.01610531
KUTA	177.06976	-39.17226
LEYL	176.93673005	-39.332320765
MAHI	177.90700192	-39.152563727
MAKO	178.1291161	-38.6437598
MATW	177.5262032	-38.33384691
MCNL	176.696548844	-39.444191609
MING	176.74973	-38.61686
MKNO	176.028832116	-39.703375975
NMAI	176.806622735	-39.09704167
NRSW	176.200037533	-40.113323422
OPTK	177.307578963	-38.046521999
OROA	176.68067166	-40.10435506
PAKI	178.0826	-37.89398
PARI	177.883276367	-38.92257263
PAWA	176.86388246	-40.03308057
PNUI	176.2004619	-39.91677899
PORA	176.63521633	-40.26637863
PRTU	177.697878483	-38.814193241
PUKE	178.257359581	-38.07141492
RAHI	177.086052871	-38.916179094
RAKW	176.621161167	-39.747201862
RAUM	177.677525303	-37.965002597
RAWI	177.415398552	-38.495555956
RIPA	176.49251215	-39.165523807
SNST	177.347494834	-38.779631498
TAKP	175.962920076	-40.061564113
TAUW	178.005876841	-38.162424733
TKAR	177.81144	-38.43747
TURI	176.382558492	-40.26498279
WAHU	177.234413566	-39.077210643
WMAT	178.4087	-37.825
WPAW	176.54300597	-39.89587961
WPUK	176.44059928	-40.06420523
