DEA2	-122.4800	48.7527
DEA3	-122.6727	45.5069
DWH1	-122.0801	47.7741
EMBC	-121.7872	47.2778
EMBL	-121.7875	47.2776
EMBR	-121.7865	47.2780
ESM1	-122.5691	47.8034
FND1	-121.7872	47.2786
FND2	-121.7951	47.2788
FRFX	-121.9594	47.0079
FRID	-123.0180	48.5352
GLDR	-125.8727	49.6815
GLNW	-121.2887	46.0199
GRP4	-122.1272	48.1946
HGP1	-122.9210	47.0193
HRPR	-117.6079	43.8659
HTCH	-120.9657	47.1915
INW1	-116.9297	47.7144
INW2	-117.0298	48.1879
IWAC	-124.0394	46.3058
JUNT	-118.0785	43.7438
KAHL	-118.5573	46.6410
KANA	-119.4360	48.9555
KFRC	-121.7839	42.2242
KNTP	-122.2575	47.4251
KRMT	-122.3209	47.8028
LKVW	-120.3467	42.1721
MCMV	-123.1331	45.1973
MSLK	-119.2737	47.1306
MTCL	-120.1466	44.5652
OBEC	-123.0982	44.0660
ONTO	-116.9380	44.0232
OTIS	-122.3365	48.4178
PCSO	-123.3278	43.6646
PDXB	-122.5815	45.5664
PER1	-122.2081	47.9816
PNCL	-123.4152	48.1014
PNDL	-118.7915	45.6695
POUL	-122.6672	47.7546
PSEA	-122.3201	47.4513
PSPT	-122.4895	42.7548
PTWA	-123.0825	49.0061
RDLE	-123.3622	42.9544
SATS	-123.5402	46.9654
SEDK	-122.2389	48.5041
SKMA	-121.8839	45.6942
SPKV	-117.2715	47.6774
SPRA	-119.7763	44.8267
SPWY	-121.7884	47.2773
SQIM	-123.1020	48.0823
TAY1	-117.1762	46.7146
TRI1	-122.1874	47.7087
TWR1	-121.7872	47.2767
V081	-122.3385	47.6041
V096	-122.3360	47.6013
V102	-122.3355	47.6005
WABR	-119.7799	48.1004
WACO	-122.9905	45.5231
WACS	-122.9696	46.6754
WAEV	-122.2077	47.9816
WCM1	-122.6359	47.5411
WEEZ	-122.2047	47.9768
WNTH	-120.1729	48.4632
WOST	-126.6050	50.2124
WSLR	-122.9212	50.1265
YAWA	-120.5050	46.6049
